asset,current_price,prev_close,opens,bids,ask,day_range_min,day_range_max,fifty_two_wk_min,fifty_two_wk_max,volume,avg_volume,market_cap,beta,PE_ratio,eps,earnings_date_min,earnings_date_max,dividend_yield,dividend_date,one_year_est,RSI,Adj_Close,Change,Gain,Loss,AVG_gain,AVG_Loss,RS,target
(MMSI),37.58,37.92,36.76,37700.0,37200.0,36.42,37.8,19.5,63.64,714275.0,760236.0,2.099,0.9,379.6,0.1,"Apr 20, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,45.57,,,,,,,,,
(TSEM),18.65,19.07,18.37,18120.0,19600.0,18.28,19.04,14.46,25.8,312910.0,355888.0,1.973,1.31,22.2,0.84,N,/,"['N/A', '(N/A)']","Sep 23, 1997",27.87,,,,,,,,,
(CNA),42.99,42.62,41.41,42570.0,47000.0,41.4,43.01,40.67,51.3,407307.0,236036.0,11.668,0.76,11.71,3.67,"Apr 26, 2020 "," Apr 30, 2020","['1.48', '(3.47%)']","Feb 20, 2020",53.5,,,,,,,,,
(EPAY),40.0,41.11,39.98,39600.0,39690.0,38.54,40.38,37.04,57.22,320018.0,304362.0,1.76,1.21,294.12,0.14,"Apr 29, 2020 "," May 03, 2020","['N/A', '(N/A)']",,60.17,,,,,,,,,
(FUL),39.27,39.21,37.71,0.0,38960.0,37.44,39.41,37.44,52.4,531171.0,389070.0,2.018,1.57,15.58,2.52,"Apr 02, 2020 "," Apr 12, 2020","['0.64', '(1.63%)']","Jan 28, 2020",52.71,,,,,,,,,
(FLY),14.37,15.28,15.01,5010.0,18590.0,14.23,15.62,13.03,23.21,392260.0,143804.0,444.01M,0.65,2.02,7.12,"May 06, 2020 "," May 10, 2020","['N/A', '(N/A)']","Oct 27, 2015",26.38,27.154647673044096,14.37,-0.91,0.0,0.91,0.13592571105300488,0.3646357865205238,0.3727711762744225,0.0
(ARCB),19.63,19.6,18.7,18200.0,19680.0,18.28,19.71,18.12,34.6,255788.0,198065.0,497.958M,1.77,12.99,1.51,"Apr 29, 2020 "," May 03, 2020","['0.32', '(1.63%)']","Feb 09, 2020",30.5,30.436531103213163,19.63,0.02999999999999758,0.02999999999999758,0.0,0.16840006555671053,0.38488264917070014,0.4375361319081522,2.0
(CRY),25.12,24.93,24.44,24250.0,24820.0,24.44,25.2,20.76,33.0,304162.0,223786.0,981.722M,0.86,546.09,0.05,"Apr 27, 2020 "," May 03, 2020","['N/A', '(N/A)']","Dec 08, 2015",34.83,32.57884080223553,25.12,0.19000000000000128,0.19000000000000128,0.0,0.12883281612661787,0.2666165398178622,0.4832138929363849,2.0
(APOG),30.35,29.91,29.84,30170.0,31000.0,29.52,30.51,29.39,46.7,296169.0,233765.0,804.515M,1.53,21.45,1.41,"Apr 08, 2020 "," Apr 12, 2020","['0.75', '(2.51%)']","Jan 30, 2020",38.25,37.56290521132252,30.35,0.4400000000000013,0.4400000000000013,0.0,0.2364643007906076,0.3930511732130659,0.6016119958568971,2.0
(PRAH),96.97,98.34,94.61,79050.0,106400.0,94.37,97.69,85.0,113.1,314383.0,520668.0,6.164,1.08,26.35,3.68,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,121.38,,,,,,,,,
(RDWR),22.96,23.45,23.11,21780.0,22840.0,22.32,23.24,22.0,26.98,280813.0,202739.0,1.078,0.82,48.85,0.47,M,a,"['N/A', '(N/A)']",,29.5,,,,,,,,,
(JCAP),18.63,18.79,18.47,18580.0,19550.0,17.93,18.64,17.21,22.2,310949.0,294416.0,433.591M,0.53,16.81,1.11,F,e,"['0.92', '(4.90%)']","Mar 30, 2020",24.33,38.59942653275632,18.63,-0.16000000000000014,0.0,0.16000000000000014,0.1003701215946242,0.15965996333279805,0.6286492837619594,2.0
(QDEL),83.27,81.06,79.06,82310.0,82330.0,78.79,83.63,52.49,83.99,316860.0,241916.0,3.487,1.4,48.02,1.73,"May 05, 2020 "," May 10, 2020","['N/A', '(N/A)']",,89.5,,,,,,,,,
(TCS),3.07,3.37,3.27,3000.0,3780.0,3.04,3.33,3.04,9.5,303511.0,235104.0,151.56M,2.36,8.39,0.366,"May 11, 2020 "," May 17, 2020","['N/A', '(N/A)']",,4.5,20.543151109785573,3.07,-0.3000000000000003,0.0,0.3000000000000003,0.022408689639908826,0.0866723832692741,0.258544749719059,0.0
(SRI),19.36,19.52,18.88,19370.0,32000.0,18.88,19.6,18.88,34.46,260497.0,225788.0,530.625M,1.55,9.09,2.13,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,27.33,12.530907824448647,19.36,-0.16000000000000014,0.0,0.16000000000000014,0.08220069378727188,0.5737828545626151,0.14326097953890948,0.0
(AWR),87.78,87.13,85.13,60000.0,86730.0,83.79,88.06,67.52,96.0,185300.0,248454.0,3.236,0.06,38.55,2.28,"May 03, 2020 "," May 07, 2020","['1.22', '(1.40%)']","Feb 12, 2020",79.0,,,,,,,,,
(CMPR),110.63,114.18,110.43,105000.0,110300.0,108.19,113.86,73.74,145.09,294291.0,311611.0,2.899,0.11,13.37,8.27,A,p,"['N/A', '(N/A)']",,110.0,,,,,,,,,
(FMX),83.06,85.17,82.65,82980.0,83180.0,81.53,83.31,79.8,100.35,406394.0,443245.0,148.603,0.15,36.43,2.28,N,/,"['1.51', '(1.77%)']","Oct 31, 2019",111.79,32.95147364068018,83.06,-2.1099999999999994,0.0,2.1099999999999994,0.4582051586363713,0.9323401129738641,0.49145708981119,2.0
(SPH),18.76,18.87,18.6,18470.0,19270.0,18.49,18.91,18.49,24.89,298175.0,258890.0,1.164,0.97,14.53,1.29,"May 06, 2020 "," May 10, 2020","['2.40', '(12.72%)']","Feb 02, 2020",24.67,22.909075335974464,18.76,-0.10999999999999943,0.0,0.10999999999999943,0.058173161446913785,0.19575747780312872,0.2971695492798387,0.0
(HESM),18.3,19.77,19.36,15600.0,24000.0,18.25,19.49,17.61,25.66,303146.0,192101.0,5.204,1.6,4.94,3.71,J,a,"['1.70', '(8.50%)']","Feb 04, 2020",26.5,28.50669851851623,18.3,-1.4699999999999989,0.0,1.4699999999999989,0.12950972815681291,0.3248035907730913,0.3987324396523953,0.0
(BRKS),33.75,34.68,33.51,31600.0,33440.0,32.92,34.27,28.43,50.35,307763.0,425513.0,2.485,1.49,5.64,5.99,"Apr 26, 2020 "," Apr 30, 2020","['0.40', '(1.15%)']","Mar 04, 2020",48.33,36.559927772962105,33.75,-0.9299999999999996,0.0,0.9299999999999996,0.3681699972872355,0.6388615252408684,0.5762907652772254,2.0
(GPRK),15.48,17.02,16.35,15430.0,15520.0,15.27,16.7,14.01,22.62,301544.0,206367.0,919.579M,0.58,16.9,0.92,M,a,"['0.17', '(0.97%)']","Mar 23, 2020",26.61,28.69936732204546,15.48,-1.5399999999999991,0.0,1.5399999999999991,0.1393078778966867,0.3460961253813824,0.4025120990394667,0.0
(PACD),1.15,1.23,1.23,1110.0,1200.0,1.11,1.2368,1.05,15.66,299670.0,439259.0,86.258M,2.21,2.2,0.522,M,a,"['N/A', '(N/A)']",,9.0,34.02839399802362,1.15,-0.08000000000000007,0.0,0.08000000000000007,0.043888676796204035,0.08508795606737778,0.5158036322020749,2.0
(CORE),27.07,27.23,26.79,27190.0,26970.0,26.44,27.51,21.14,40.95,266540.0,265159.0,1.227,0.75,21.66,1.25,"May 05, 2020 "," May 10, 2020","['0.48', '(1.76%)']","Mar 12, 2020",32.25,63.20491152662325,27.07,-0.16000000000000014,0.0,0.16000000000000014,0.4011767580528863,0.2335472663354749,1.717754030469459,2.0
(ITRI),72.64,74.4,71.81,71590.0,71830.0,70.45,72.75,45.54,88.32,277422.0,272998.0,2.902,1.1,59.06,1.23,"May 03, 2020 "," May 07, 2020","['N/A', '(N/A)']",,90.14,,,,,,,,,
(TGH),7.71,7.87,7.56,6500.0,10480.0,7.37,7.76,6.4,11.75,294008.0,339818.0,438.066M,2.29,7.8,0.99,"May 06, 2020 "," May 10, 2020","['N/A', '(N/A)']","Aug 16, 2016",10.5,,,,,,,,,
(VRA),8.24,8.01,7.9,7900.0,8119.999999999999,7.9,8.39,7.56,14.51,297369.0,284127.0,277.213M,0.86,23.21,0.35,M,a,"['N/A', '(N/A)']",,13.75,,,,,,,,,
(HTBK),9.69,10.04,9.65,9610.0,9710.0,9.46,9.94,9.46,13.27,261915.0,307927.0,575.278M,0.98,11.54,0.84,"Apr 22, 2020 "," Apr 26, 2020","['0.52', '(5.18%)']","Feb 03, 2020",14.4,25.36053770548691,9.69,-0.34999999999999964,0.0,0.34999999999999964,0.05714591767770759,0.16818809669275156,0.33977385321211273,0.0
(GLP),15.21,16.89,16.5,15200.0,16149.999999999998,15.18,16.73,15.18,21.62,294185.0,123206.0,517.073M,0.87,6.44,2.36,"May 06, 2020 "," May 10, 2020","['2.10', '(12.43%)']","Feb 06, 2020",20.67,22.91541286977564,15.21,-1.6799999999999995,0.0,1.6799999999999995,0.1049838642285466,0.3531526084815544,0.29727619648611503,0.0
(OPI),31.06,31.59,30.85,30180.0,30870.0,30.13,31.56,23.36,35.95,293184.0,289598.0,1.497,1.64,49.3,0.63,"Jul 30, 2019 "," Aug 04, 2019","['2.20', '(6.96%)']","Jan 23, 2020",33.6,41.86987412642842,31.06,-0.5300000000000011,0.0,0.5300000000000011,0.31296183739396954,0.4345012107369224,0.7202784012113113,2.0
(SCHL),32.1,31.36,30.75,31940.0,31810.0,30.71,32.16,30.29,45.8,131678.0,205808.0,1.111,0.86,65.78,0.49,"Mar 18, 2020 "," Mar 22, 2020","['0.60', '(1.79%)']","Jan 29, 2020",42.0,40.64426976245284,32.1,0.7400000000000021,0.7400000000000021,0.0,0.2714144201711535,0.3963658641283225,0.6847573031245793,2.0
(WAFD),30.24,30.73,29.6,29980.0,29950.0,29.57,30.35,27.82,38.26,387336.0,411603.0,2.325,1.08,10.81,2.8,"Apr 12, 2020 "," Apr 16, 2020","['0.88', '(2.54%)']","Feb 05, 2020",35.5,31.216275516134612,30.24,-0.490000000000002,0.0,0.490000000000002,0.1834207740569808,0.4041598101872124,0.4538322946361682,2.0
(SND),1.4,1.42,1.42,1430.0,1440.0,1.39,1.49,1.39,4.68,263110.0,246216.0,59.987M,2.15,1.79,0.78,F,e,"['N/A', '(N/A)']",,2.88,26.339006861225556,1.4,-0.020000000000000014,0.0,0.020000000000000014,0.01697341972733561,0.04746872046710997,0.357570618300026,0.0
(GSBD),19.59,20.17,19.88,19600.0,19610.0,19.34,20.0,18.71,22.5,289982.0,183093.0,791.467M,0.99,21.84,0.9,"May 06, 2020 "," May 10, 2020","['1.80', '(8.92%)']","Mar 29, 2020",20.56,,,,,,,,,
(WNS),64.62,65.05,64.47,64640.0,64390.0,63.06,65.33,51.72,75.86,288180.0,198357.0,3.213,1.2,28.57,2.26,"Apr 22, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,81.36,30.30883466273035,64.62,-0.4299999999999926,0.0,0.4299999999999926,0.26819358023724593,0.6166757432509108,0.434902107262105,2.0
(OCFC),19.02,19.74,19.2,18860.0,24000.0,18.63,19.51,18.63,26.09,235089.0,219327.0,1.192,0.82,10.87,1.75,"Apr 22, 2020 "," Apr 26, 2020","['0.68', '(3.19%)']","Feb 03, 2020",26.79,,,,,,,,,
(KRNT),39.12,39.94,38.78,34500.0,46000.0,38.18,40.01,20.89,45.21,280391.0,259516.0,1.579,1.02,150.46,0.26,"May 10, 2020 "," May 14, 2020","['N/A', '(N/A)']",,45.0,,,,,,,,,
(NOA),8.37,8.61,8.45,8330.0,8340.0,8.2,8.59,8.2,13.62,277348.0,151950.0,228.682M,0.66,59.36,0.14,N,/,"['0.12', '(1.31%)']","Mar 03, 2020",7.64,22.321587059760322,8.37,-0.2400000000000002,0.0,0.2400000000000002,0.04643180916590383,0.16158121894717153,0.2873589484498478,0.0
(CP),245.88,249.39,243.25,246560.0,246200.0,241.62,246.78,199.33,275.13,576875.0,414195.0,33.75,1.29,19.74,12.46,N,/,"['2.52', '(1.01%)']","Mar 25, 2020",363.66,,,,,,,,,
(GBX),21.84,23.05,22.18,20850.0,22150.0,21.42,22.94,21.3,38.5,394488.0,457950.0,711.903M,1.93,11.94,1.83,"Apr 02, 2020 "," Apr 06, 2020","['1.08', '(4.69%)']","Jan 26, 2020",31.83,,,,,,,,,
(BRC),48.83,48.58,47.13,42000.0,55000.0,47.13,49.0,44.13,59.11,249878.0,207473.0,2.605,1.01,18.51,2.64,"May 20, 2020 "," May 24, 2020","['0.87', '(1.79%)']","Apr 07, 2020",52.75,,,,,,,,,
(PEN),180.88,176.09,171.56,179430.0,178470.0,171.56,181.65,122.4,194.93,273509.0,314821.0,6.34,0.74,134.99,1.34,F,e,"['N/A', '(N/A)']",,190.25,53.48846371391707,180.88,4.789999999999992,4.789999999999992,0.0,2.051614665686132,1.7840061826881797,1.1500042351841593,2.0
(POL),23.32,24.45,23.26,22770.0,26280.0,22.79,24.3,22.79,37.33,735992.0,1041216.0,2.122,1.72,3.08,7.57,"Apr 14, 2020 "," Apr 19, 2020","['0.81', '(3.23%)']","Mar 15, 2020",37.56,,,,,,,,,
(ATR),107.3,103.98,101.61,106840.0,107280.0,101.33,107.41,99.32,126.2,588051.0,284983.0,6.873,0.74,29.32,3.66,A,p,"['1.44', '(1.38%)']","Jan 27, 2020",118.71,,,,,,,,,
(WD),65.65,66.78,64.18,64000.0,77000.0,64.18,66.51,49.49,79.74,270871.0,224993.0,2.032,1.06,12.05,5.45,"Apr 28, 2020 "," May 03, 2020","['1.44', '(2.06%)']","Feb 19, 2020",75.5,,,,,,,,,
(PAG),44.26,43.68,42.29,43920.0,54000.0,42.25,44.44,41.26,53.81,376081.0,306960.0,3.744,1.34,8.38,5.28,"Apr 22, 2020 "," Apr 26, 2020","['1.68', '(3.73%)']","Feb 20, 2020",59.29,35.5666871507771,44.26,0.5799999999999983,0.5799999999999983,0.0,0.35993356272831795,0.6520627505703009,0.5519922161072938,2.0
(GOLF),25.92,26.13,25.22,13580.0,27500.0,25.22,26.08,22.3,33.5,272961.0,271416.0,1.928,1.21,16.2,1.6,"May 05, 2020 "," May 10, 2020","['0.62', '(2.30%)']","Mar 11, 2020",27.46,,,,,,,,,
(CBU),62.94,64.11,61.8,62390.0,62460.0,61.46,63.25,56.58,72.63,257523.0,236840.0,3.267,0.98,19.49,3.23,"Apr 19, 2020 "," Apr 23, 2020","['1.64', '(2.56%)']","Mar 12, 2020",69.8,38.79646801940307,62.94,-1.1700000000000017,0.0,1.1700000000000017,0.47484021748469396,0.7490861905770261,0.6338926327275122,2.0
(WTS),94.92,96.45,93.36,94260.0,95210.0,92.34,95.5,76.15,114.45,225419.0,143654.0,3.198,1.24,24.59,3.86,"Apr 29, 2020 "," May 03, 2020","['0.92', '(0.89%)']","Nov 26, 2019",103.0,,,,,,,,,
(BANR),43.97,44.71,42.88,43550.0,44140.0,41.18,44.9,41.18,60.21,180255.0,232188.0,1.572,0.85,10.52,4.18,"Apr 21, 2020 "," Apr 26, 2020","['1.64', '(3.67%)']","Jan 07, 2020",59.5,26.01655353774926,43.97,-0.7400000000000021,0.0,0.7400000000000021,0.2641424764496646,0.7511437184200809,0.3516537114964484,0.0
(FIX),42.16,42.13,40.65,41910.0,41940.0,40.65,42.4,36.27,58.21,266079.0,214603.0,1.544,1.38,13.69,3.08,F,e,"['0.42', '(0.99%)']","Mar 05, 2020",56.0,,,,,,,,,
(CBT),35.3,36.65,35.73,34870.0,52000.0,34.49,36.4,34.49,50.58,397225.0,330200.0,2.001,1.52,16.25,2.17,"May 03, 2020 "," May 07, 2020","['1.40', '(3.82%)']","Feb 26, 2020",50.38,,,,,,,,,
(DQ),59.0,61.67,59.67,58730.0,59500.0,56.54,60.42,30.17,81.46,266414.0,252144.0,783.591M,1.16,41.49,1.42,M,a,"['N/A', '(N/A)']",,59.36,,,,,,,,,
(MEI),30.24,30.28,29.54,29660.0,31700.0,29.07,31.11,24.33,41.7,292870.0,200377.0,1.162,1.53,10.84,2.79,M,a,"['0.44', '(1.46%)']","Jan 15, 2020",40.33,,,,,,,,,
(INDB),64.63,67.74,65.36,63990.0,64720.0,62.87,67.0,62.33,87.64,210636.0,146314.0,2.219,1.13,12.85,5.03,"Apr 15, 2020 "," Apr 19, 2020","['1.76', '(2.60%)']","Dec 26, 2019",84.38,,,,,,,,,
(VREX),23.59,24.5,23.76,23300.0,23410.0,23.09,24.09,22.67,35.0,239126.0,228126.0,916M,1.86,58.97,0.4,F,e,"['N/A', '(N/A)']",,36.6,,,,,,,,,
(WSR),12.7,12.83,12.61,12330.0,12910.0,12.26,12.72,11.5,14.65,263539.0,236280.0,516.818M,1.08,32.07,0.4,"Apr 28, 2020 "," May 03, 2020","['1.14', '(8.48%)']","Mar 01, 2020",14.5,,,,,,,,,
(CUB),52.73,55.67,53.7,32900.0,70000.0,51.41,54.53,51.41,75.2,291824.0,268880.0,1.65,1.26,46.29,1.14,"Apr 29, 2020 "," May 03, 2020","['0.27', '(0.49%)']","Feb 27, 2020",75.83,,,,,,,,,
(EXFO),3.38,3.58,3.52,3390.0,3380.0,3.38,3.52,3.2,4.97,260910.0,59467.0,187.717M,1.49,37.98,0.08900000000000001,N,/,"['N/A', '(N/A)']",,4.63,,,,,,,,,
(CENTA),26.44,26.61,26.04,30.0,32960.0,25.74,26.6,20.51,32.29,224841.0,297055.0,1.485,0.16,17.34,1.52,"May 03, 2020 "," May 07, 2020","['N/A', '(N/A)']",,34.0,,,,,,,,,
(SSB),67.97,68.93,66.44,67160.0,67420.0,65.97,68.98,63.91,88.1,231427.0,218865.0,2.284,1.29,12.68,5.36,"Apr 26, 2020 "," Apr 30, 2020","['1.88', '(2.73%)']","Feb 05, 2020",83.17,,,,,,,,,
(AZPN),103.1,108.69,105.28,102510.0,103060.0,100.11,106.61,96.25,142.89,747171.0,596367.0,7.002,1.54,28.73,3.59,"Apr 21, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,146.5,28.674998174976736,103.1,-5.5900000000000025,0.0,5.5900000000000025,0.782005342419659,1.9451276730658555,0.40203291189985707,0.0
(PKX),39.27,40.14,39.19,33000.0,39090.0,38.67,39.69,38.67,61.22,522094.0,233004.0,13.024,0.99,4.55,8.63,N,/,"['1.70', '(4.23%)']","Sep 26, 2019",58.5,,,,,,,,,
(OXM),57.81,57.79,56.09,57340.0,57390.0,56.09,58.63,56.09,85.36,257416.0,109395.0,1.006,0.5,13.96,4.14,"Mar 25, 2020 "," Mar 29, 2020","['1.48', '(2.49%)']","Jan 15, 2020",81.67,22.202840118225932,57.81,0.02000000000000313,0.02000000000000313,0.0,0.2265749134426133,0.7939022518035659,0.28539396749144685,0.0
(HOLI),14.65,14.6,14.31,14240.0,14960.0,14.23,14.86,13.59,24.1,243801.0,206270.0,886.868M,1.52,7.62,1.92,"May 10, 2020 "," May 14, 2020","['0.21', '(1.44%)']","Oct 20, 2019",22.04,,,,,,,,,
(SPXC),43.53,43.5,41.58,10030.0,52630.0,41.3,43.72,29.59,53.76,269257.0,302396.0,1.925,1.78,27.69,1.57,"Apr 29, 2020 "," May 03, 2020","['N/A', '(N/A)']","Jun 11, 2015",56.5,,,,,,,,,
(POOL),224.91,226.64,222.22,224150.0,222020.0,218.23,225.9,154.16,238.23,253112.0,200252.0,9.05,0.82,35.14,6.4,"Apr 15, 2020 "," Apr 19, 2020","['2.20', '(1.04%)']","Mar 10, 2020",227.0,,,,,,,,,
(CATO),14.12,13.44,12.92,14040.0,14190.0,12.92,14.23,11.85,19.73,255866.0,169329.0,347.873M,0.35,9.71,1.45,M,a,"['1.32', '(9.59%)']","Mar 05, 2020",23.0,,,,,,,,,
(ALE),76.21,75.31,73.36,74550.0,78650.0,71.96,76.67,67.99,88.6,374821.0,270172.0,3.94,0.37,21.23,3.59,"Apr 29, 2020 "," May 03, 2020","['2.47', '(3.28%)']","Feb 12, 2020",84.2,,,,,,,,,
(ACLS),23.47,23.2,22.38,23490.0,23500.0,22.3,23.53,13.99,29.24,250882.0,249508.0,776.604M,1.16,46.94,0.5,"May 04, 2020 "," May 10, 2020","['N/A', '(N/A)']",,32.2,,,,,,,,,
(EGOV),18.08,18.03,17.47,17780.0,19840.0,17.32,18.16,15.48,24.38,188996.0,318708.0,1.211,0.83,24.24,0.75,"May 03, 2020 "," May 07, 2020","['0.36', '(2.00%)']","Mar 02, 2020",22.0,31.59811398493976,18.08,0.049999999999997165,0.049999999999997165,0.0,0.10281980958669308,0.22257875576976735,0.46194799333431696,2.0
(DOOR),72.38,72.72,69.99,71130.0,71330.0,69.75,72.57,47.04,89.21,254260.0,170293.0,1.805,1.4,41.36,1.75,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,90.56,38.096809244296544,72.38,-0.3400000000000034,0.0,0.3400000000000034,0.6550268797347623,1.0643477679801934,0.6154256150485503,2.0
(KEX),58.94,60.99,58.98,58790.0,93000.0,58.05,61.39,58.05,92.3,636875.0,492909.0,3.535,1.12,24.87,2.37,"Apr 29, 2020 "," May 03, 2020","['N/A', '(N/A)']","Aug 07, 1989",85.67,,,,,,,,,
(DORM),60.16,57.43,55.35,59500.0,59750.0,55.35,60.65,55.35,95.72,227510.0,180026.0,1.958,0.69,23.5,2.56,"Apr 26, 2020 "," Apr 30, 2020","['N/A', '(N/A)']","Dec 12, 2012",65.0,33.424185603724965,60.16,2.729999999999997,2.729999999999997,0.0,0.5751394527174214,1.1455889429905202,0.5020469656559706,2.0
(CMCM),2.93,2.97,2.95,2880.0,2970.0,2.88,2.95,2.85,7.47,250752.0,316427.0,400.024M,1.98,1.91,1.535,"Mar 22, 2020 "," Mar 26, 2020","['N/A', '(N/A)']","Sep 11, 2019",28.44,,,,,,,,,
(FDP),28.35,27.95,27.4,22000.0,37150.0,27.22,28.42,22.98,38.79,174880.0,188052.0,1.361,1.03,20.69,1.37,"Apr 27, 2020 "," May 03, 2020","['0.24', '(0.86%)']","Mar 02, 2020",40.0,40.860866447235814,28.35,0.4000000000000021,0.4000000000000021,0.0,0.3079085055829188,0.4456450344050918,0.6909277155841248,2.0
(MEDP),98.35,96.31,94.39,97310.0,97490.0,91.8,98.6,50.14,109.09,247766.0,231037.0,3.55,1.24,36.84,2.67,F,e,"['N/A', '(N/A)']",,101.6,,,,,,,,,
(EGP),131.36,132.49,129.0,100000.0,129610.0,126.52,131.73,107.17,142.69,254828.0,186945.0,5.11,0.83,40.54,3.24,"Apr 19, 2020 "," Apr 23, 2020","['3.00', '(2.26%)']","Dec 26, 2019",136.27,,,,,,,,,
(ELVT),2.95,3.08,3.0,1710.0,3400.0,2.88,3.05,2.88,5.98,246516.0,232759.0,126.91M,1.83,4.04,0.73,F,e,"['N/A', '(N/A)']",,5.7,,,,,,,,,
(THR),18.25,18.71,17.95,18230.0,18300.0,17.67,18.35,17.23,27.73,244129.0,120652.0,600.148M,1.52,27.65,0.66,"Jun 03, 2020 "," Jun 07, 2020","['N/A', '(N/A)']",,25.0,,,,,,,,,
(BHLB),22.68,23.0,22.11,20010.0,30000.0,22.02,23.04,22.02,33.72,297070.0,193473.0,1.139,1.15,11.62,1.95,J,a,"['0.96', '(4.17%)']","Feb 12, 2020",29.5,,,,,,,,,
(SPSC),52.63,53.42,52.04,50000.0,53100.0,51.68,52.84,44.07,62.26,238148.0,179995.0,1.835,0.58,55.99,0.94,"Apr 22, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,69.88,,,,,,,,,
(LCII),91.44,90.95,87.27,91170.0,91240.0,86.93,92.18,73.34,116.51,204074.0,146162.0,2.29,1.38,15.66,5.84,"May 04, 2020 "," May 10, 2020","['2.60', '(2.61%)']","Mar 04, 2020",114.8,,,,,,,,,
(WSFS),33.95,34.47,33.4,33360.0,33530.0,33.02,34.6,33.02,46.05,222480.0,204024.0,1.756,1.12,11.32,3.0,"Apr 22, 2020 "," Apr 26, 2020","['0.48', '(1.15%)']","Feb 04, 2020",46.4,,,,,,,,,
(NICE),159.36,163.47,159.8,157000.0,159290.0,157.71,161.91,112.6,183.42,232641.0,279118.0,9.935,0.07,55.33,2.88,N,/,"['N/A', '(N/A)']","Feb 22, 2017",184.91,,,,,,,,,
(GLAD),8.87,9.03,8.92,8810.0,8830.0,8.7,8.95,8.5,10.69,213689.0,205106.0,276.315M,1.07,10.88,0.81,"Apr 28, 2020 "," May 03, 2020","['0.84', '(9.30%)']","Mar 18, 2020",9.25,,,,,,,,,
(CSGS),43.07,42.68,41.36,42370.0,42470.0,41.26,43.2,40.27,58.69,223055.0,252196.0,1.415,0.95,16.89,2.55,"Apr 28, 2020 "," May 03, 2020","['0.94', '(2.20%)']","Mar 04, 2020",57.0,,,,,,,,,
(STRL),12.41,12.84,12.27,12350.0,12310.0,11.9,12.64,10.16,17.49,216411.0,140783.0,343.995M,1.11,14.26,0.87,M,a,"['N/A', '(N/A)']","Dec 22, 1998",20.0,,,,,,,,,
(SCU),22.31,23.9,23.21,22010.0,23990.0,21.49,23.28,13.64,28.85,242785.0,176586.0,1.141,0.97,14.21,1.57,"May 06, 2020 "," May 10, 2020","['1.25', '(5.04%)']","Feb 23, 2020",37.75,,,,,,,,,
(BOOM),30.97,34.9,34.2,30960.0,32740.000000000004,30.45,34.27,30.45,76.68,959905.0,257621.0,453.794M,0.71,13.6,2.28,F,e,"['0.50', '(1.43%)']","Dec 29, 2019",55.5,22.171470239206,30.97,-3.93,0.0,3.93,0.2232951653274884,0.7838331979176051,0.28487587144906906,0.0
(CVGW),61.13,62.5,62.31,61030.0,76000.0,60.37,62.6,54.33,100.58,224546.0,227236.0,1.076,1.07,29.39,2.08,"Mar 15, 2020 "," Mar 19, 2020","['1.10', '(1.76%)']","Nov 13, 2019",77.67,,,,,,,,,
(MANT),78.74,80.77,78.58,77480.0,77480.0,76.25,80.02,51.46,93.99,240020.0,206332.0,3.089,0.95,27.81,2.83,"Apr 28, 2020 "," May 03, 2020","['1.28', '(1.63%)']","Mar 04, 2020",81.0,,,,,,,,,
(GFF),16.81,17.91,17.41,16770.0,17870.0,16.37,17.69,14.11,25.5,215345.0,253809.0,788.535M,2.22,18.76,0.9,J,a,"['0.30', '(1.68%)']","Feb 18, 2020",27.33,,,,,,,,,
(CSWC),18.07,18.85,18.6,18090.0,18480.0,18.0,18.69,17.78,22.9,338888.0,169990.0,336.603M,-0.33,24.35,0.74,F,e,"['1.64', '(8.70%)']","Mar 12, 2020",21.64,,,,,,,,,
(ANDE),19.2,18.73,18.09,19260.0,19050.0,18.08,19.29,17.4,35.72,235911.0,181637.0,629.76M,1.41,34.91,0.55,"May 03, 2020 "," May 07, 2020","['0.70', '(3.74%)']","Mar 30, 2020",25.0,,,,,,,,,
(CNMD),93.97,95.16,92.71,94410.0,94200.0,91.79,94.64,76.46,116.81,232567.0,287540.0,2.677,0.57,96.88,0.97,"Apr 21, 2020 "," Apr 26, 2020","['0.80', '(0.84%)']","Mar 12, 2020",124.0,32.28691242367843,93.97,-1.1899999999999975,0.0,1.1899999999999975,0.4867411082072932,1.0208081483463596,0.4768193798176288,2.0
(GCP),20.28,20.11,19.39,20300.0,20320.0,19.3,20.33,16.51,30.63,231356.0,292544.0,1.478,0.96,31.79,0.64,"May 05, 2020 "," May 10, 2020","['N/A', '(N/A)']",,28.0,,,,,,,,,
(HRI),31.88,32.74,31.35,31360.0,48330.0,30.6,32.54,30.6,50.81,232732.0,193826.0,920.063M,3.41,19.56,1.63,"Apr 29, 2020 "," May 07, 2020","['N/A', '(N/A)']",,54.4,,,,,,,,,
